Study ID,Author(s),Year,Title,Journal,Passed Filter 2,Scope,Genomic,Wild or Captive,Continent,Country,Latitude,Longitude,Avg or est points,Coordinate Notes,Coordinate System,Class,Latin Binomial,IUCN Latin Binomial,IUCN Status,Species Global North or South,Total Number of Authors,1st Author Origin Country,1st Author Global Divide,Last Author Origin Country,Last Author Global Divide,Collaboration,Number of Local Authors,Number of authors from Global North,Number of authors from Global South,delta_maximum_temperature_1960_2050,Paper Notes
2,"Liu, Jianjun; Liu, Siqi; Zheng, Kai; Tang, Min; Ling, Gu Liping; Young, James; Wang, Ziming; Qiu, Yeyan; Dong, Jinxiu; Gu, Shengli; Xiong, Lei; Zhou, Ruanbao; Nie, Liuwang",2021,Chromosome-level genome assembly of the Chinese three-keeled pond turtle (Mauremys reevesii) provides insights into freshwater adaptation,Molecular Ecology Resources,Yes,Level 1: General genomic resources,Whole genome,Captive,NA,NA,NA,NA,NA,NA,NA,Reptilia,Mauremys reevesii,Mauremys reevesii,EN,,,,,,,,NA,,,NA,
3,"Grummer, Jared A.; Leaché, Adam D.",2017,Do dams also stop frogs? Assessing population connectivity of coastal tailed frogs (Ascaphus truei) in the North Cascades National Park Service Complex,Conservation Genetics,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,United States,48.7185641,-121.11809,Yes,averaged over 25 localities,DD,Amphibia,Ascaphus truei,Ascaphus truei,LC,Global North,2,United States of America,Global North,United States of America,Global North,Domestic,2,2,0,2.792187452,
4,"Zhang, Wen-yi; Niu, Cui-juan; Chen, Bo-jian; Storey, K. B.",2018,Digital Gene Expression Profiling reveals transcriptional responses to acute cold stress in Chinese soft-shelled turtle Pelodiscus sinensis juveniles,Cryobiology,Yes,Level 5: Adaptive Potential - climate change,RNASeq,Captive,NA,NA,NA,NA,NA,NA,NA,Reptilia,Pelodiscus sinensis,Pelodiscus sinensis,VU,,,,,,,,NA,,,NA,
5,"Savage, Anna E.; Gratwicke, Brian; Hope, Katharine; Bronikowski, Edward; Fleischer, Robert C.",2020,Sustained immune activation is associated with susceptibility to the amphibian chytrid fungus,Molecular Ecology,Yes,Level 3: Functional Variation - global change,RNASeq,Wild,North America,United States,32.337083,-110.238306,Yes,coordinates for Muleshoe Ranch where samples were collected,DD,Amphibia,Rana yavapaiensis,Lithobates yavapaiensis,LC,Global North,5,United States of America,Global North,United States of America,Global North,Domestic,5,5,0,3.018576622,
6,"Maier, P. A.; Vandergast, A. G.; Bohonak, A. J.",2022,Using landscape genomics to delineate future adaptive potential for climate change in the Yosemite toad (Anaxyrus canorus),Evolutionary Applications,Yes,Level 5: Adaptive Potential - climate change,GBS/RAD/target capture,Wild,North America,United States,37.3791222,-119.04619,Yes,averaged the coords for Yosemite and Kings Canyon,DD,Amphibia,Anaxyrus canorus,Anaxyrus canorus,VU,Global North,3,United States of America,Global North,United States of America,Global North,Domestic,3,3,0,2.977604389,
9,"Adamson, E. A. S.; Saha, A.; Maddock, S. T.; Nussbaum, R. A.; Gower, D. J.; Streicher, J. W.",2016,Microsatellite discovery in an insular amphibian (Grandisonia alternans) with comments on cross-species utility and the accuracy of locus identification from unassembled Illumina data,CONSERVATION GENETICS RESOURCES,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,Africa,Seychelles,-4.656943094,55.46279741,Yes,centroid of the Seychelles,DD,Amphibia,Grandisonia alternans,Grandisonia alternans,LC,Global South,6,United Kingdom,Global North,United Kingdom,Global North,International,0,6,0,1.671353459,
9,"Adamson, E. A. S.; Saha, A.; Maddock, S. T.; Nussbaum, R. A.; Gower, D. J.; Streicher, J. W.",2016,Microsatellite discovery in an insular amphibian (Grandisonia alternans) with comments on cross-species utility and the accuracy of locus identification from unassembled Illumina data,CONSERVATION GENETICS RESOURCES,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,Africa,Seychelles,-4.656943094,55.46279741,Yes,centroid of the Seychelles,DD,Amphibia,Grandisonia larvata,Grandisonia larvata,LC,Global South,6,United Kingdom,Global North,United Kingdom,Global North,International,0,6,0,1.671353459,
9,"Adamson, E. A. S.; Saha, A.; Maddock, S. T.; Nussbaum, R. A.; Gower, D. J.; Streicher, J. W.",2016,Microsatellite discovery in an insular amphibian (Grandisonia alternans) with comments on cross-species utility and the accuracy of locus identification from unassembled Illumina data,CONSERVATION GENETICS RESOURCES,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,Africa,Seychelles,-4.656943094,55.46279741,Yes,centroid of the Seychelles,DD,Amphibia,Grandisonia sechellensis,Grandisonia sechellensis,LC,Global South,6,United Kingdom,Global North,United Kingdom,Global North,International,0,6,0,1.671353459,
9,"Adamson, E. A. S.; Saha, A.; Maddock, S. T.; Nussbaum, R. A.; Gower, D. J.; Streicher, J. W.",2016,Microsatellite discovery in an insular amphibian (Grandisonia alternans) with comments on cross-species utility and the accuracy of locus identification from unassembled Illumina data,CONSERVATION GENETICS RESOURCES,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,Africa,Seychelles,-4.656943094,55.46279741,Yes,centroid of the Seychelles,DD,Amphibia,Hypogeophis brevis,Hypogeophis brevis,EN,Global South,6,United Kingdom,Global North,United Kingdom,Global North,International,0,6,0,1.671353459,
9,"Adamson, E. A. S.; Saha, A.; Maddock, S. T.; Nussbaum, R. A.; Gower, D. J.; Streicher, J. W.",2016,Microsatellite discovery in an insular amphibian (Grandisonia alternans) with comments on cross-species utility and the accuracy of locus identification from unassembled Illumina data,CONSERVATION GENETICS RESOURCES,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,Africa,Seychelles,-4.656943094,55.46279741,Yes,centroid of the Seychelles,DD,Amphibia,Hypogeophis rostratus,Hypogeophis rostratus,LC,Global South,6,United Kingdom,Global North,United Kingdom,Global North,International,0,6,0,1.671353459,
11,"Addis, B. R.; Lowe, W. H.",2022,Environmentally Associated Variation in Dispersal Distance Affects Inbreeding Risk in a Stream Salamander,AMERICAN NATURALIST,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,United States,43.933333,-71.75,NO,these coords were provided in the paper. It's possible that this is the centroid of the experimental forest?,DD,Amphibia,Gyrinophilus porphyriticus,Gyrinophilus porphyriticus,LC,Global North,2,United States of America,Global North,United States of America,Global North,Domestic,2,2,0,3.240278006,
14,"Aguilar, Prem; Andrade, Pedro; Afonso, Sandra; Carretero, Miguel Á; Pérez i de Lanuza, Guillem; Pinho, Catarina",2022,No genomic repercussions of assortative pairing in a colour polymorphic lizard,Journal of evolutionary biology,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Europe,France,42.616667,1.933333,NO,coords provided by authors,DD,Reptilia,Podarcis muralis,Podarcis muralis,LC,Global North,6,Portugal,Global North,Portugal,Global North,Domestic,0,6,0,2.968402624,
15,"Aird, S. D.; Arora, J.; Barua, A.; Qiu, L. J.; Terada, K.; Mikheyev, A. S.",2017,Population Genomic Analysis of a Pitviper Reveals Microevolutionary Forces Underlying Venom Chemistry,GENOME BIOLOGY AND EVOLUTION,Yes,Level 1: General genomic resources,RNASeq,Wild,Asia,Japan,26.58374203,128.0049263,Yes,the centroid of the 3 sampling localities ends up in the water so I picked the coords for Nago since it was between the other two sites.,DD,Reptilia,Protobothrops mucrosquamatus,Protobothrops mucrosquamatus,LC,Global North,6,Japan,Global North,Japan,Global North,Domestic,6,6,0,1.66111064,
15,"Aird, S. D.; Arora, J.; Barua, A.; Qiu, L. J.; Terada, K.; Mikheyev, A. S.",2017,Population Genomic Analysis of a Pitviper Reveals Microevolutionary Forces Underlying Venom Chemistry,GENOME BIOLOGY AND EVOLUTION,Yes,Level 1: General genomic resources,Whole genome,Wild,Asia,Japan,26.58374203,128.0049263,Yes,the centroid of the 3 sampling localities ends up in the water so I picked the coords for Nago since it was between the other two sites.,DD,Reptilia,Protobothrops mucrosquamatus,Protobothrops mucrosquamatus,LC,Global North,6,Japan,Global North,Japan,Global North,Domestic,6,6,0,1.66111064,
18,"Akopyan, Maria; Gompert, Zachariah; Klonoski, Karina; Vega, Andres; Kaiser, Kristine; Mackelprang, Rachel; Rosenblum, Erica Bree; Robertson, Jeanne M.",2020,Genetic and phenotypic evidence of a contact zone between divergent colour morphs of the iconic red‐eyed treefrog,Molecular ecology,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Costa Rica,9.976131,-83.366173,Yes,average of their costa rica coords they provided,DD,Amphibia,Agalychnis callidryas,Agalychnis callidryas,LC,Global South,8,United States of America,Global North,United States of America,Global North,International,1,7,1,1.732986331,
18,"Akopyan, Maria; Gompert, Zachariah; Klonoski, Karina; Vega, Andres; Kaiser, Kristine; Mackelprang, Rachel; Rosenblum, Erica Bree; Robertson, Jeanne M.",2020,Genetic and phenotypic evidence of a contact zone between divergent colour morphs of the iconic red‐eyed treefrog,Molecular ecology,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Panama,9.19802,-82.3445,NO,coords provided,DD,Amphibia,Agalychnis callidryas,Agalychnis callidryas,LC,Global South,8,United States of America,Global North,United States of America,Global North,International,1,7,1,1.727430463,
19,"Albecker, M. A.; Stuckert, A. M. M.; Balakrishnan, C. N.; McCoy, M. W.",2021,Molecular mechanisms of local adaptation for salt-tolerance in a treefrog,MOLECULAR ECOLOGY,Yes,Level 3: Functional Variation - global change,RNASeq,Wild,North America,United States,35.68818835,-79.53049354,Yes,centroid of North Carolina. Did not see coords of sampling locality in paper,DD,Amphibia,Hyla cinerea,Dryophytes cinereus,LC,Global North,4,United States of America,Global North,United States of America,Global North,Domestic,4,4,0,2.702084303,
20,"Albero, L.; Martínez-Solano, I.; Hermida, M.; Vera, M.; Tarroso, P.; Bécares, E.",2023,Open areas associated with traditional agriculture promote functional connectivity among amphibian demes in Mediterranean agrosystems,LANDSCAPE ECOLOGY,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Europe,Spain,42.4753208,-5.2377786,Yes,centroid of 17 sites; used chat gpt to convert UTM to decimal degrees,DD,Amphibia,Pleurodeles waltl,Pleurodeles waltl,LC,Global North,6,Spain,Global North,Spain,Global North,International,3,6,0,2.780034304,
23,"Alföldi, J.; Di Palma, F.; Grabherr, M.; Williams, C.; Kong, L. S.; Mauceli, E.; Russell, P.; Lowe, C. B.; Glor, R. E.; Jaffe, J. D.; Ray, D. A.; Boissinot, S.; Shedlock, A. M.; Botka, C.; Castoe, T. A.; Colbourne, J. K.; Fujita, M. K.; Moreno, R. G.; ten Hallers, B. F.; Haussler, D.; Heger, A.; Heiman, D.; Janes, D. E.; Johnson, J.; de Jong, P. J.; Koriabine, M. Y.; Lara, M.; Novick, P. A.; Organ, C. L.; Peach, S. E.; Poe, S.; Pollock, D. D.; de Queiroz, K.; Sanger, T.; Searle, S.; Smith, J. D.; Smith, Z.; Swofford, R.; Turner-Maier, J.; Wade, J.; Young, S.; Zadissa, A.; Edwards, S. V.; Glenn, T. C.; Schneider, C. J.; Losos, J. B.; Lander, E. S.; Breen, M.; Ponting, C. P.; Lindblad-Toh, K.",2011,The genome of the green anole lizard and a comparative analysis with birds and mammals,NATURE,Yes,Level 1: General genomic resources,Whole genome,Wild,North America,United States,33.3444,-81.7412,Yes,coords of Savannah River Site from their website,DD,Reptilia,Anolis carolinensis,Anolis carolinensis,LC,Global North,50,United States of America,Global North,United States of America,Global North,International,44,50,0,2.363368034,2 UK affiliations and 1 from sweden
26,"Allen, K. E.; Greenbaum, E.; Hime, P. M.; Tapondjou, N. W. P.; Sterkhova, V. V.; Kusamba, C.; Rödel, M. O.; Penner, J.; Peterson, A. T.; Brown, R. M.",2021,"Rivers, not refugia, drove diversification in arboreal, sub-Saharan African snakes",ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Cameroon,4.4732,11.9648889,NO,coord provided,DD,Reptilia,Toxicodryas blandingii,Toxicodryas blandingii,LC,Global South,10,United States of America,Global North,United States of America,Global North,International,1,9,1,1.712846398,
26,"Allen, K. E.; Greenbaum, E.; Hime, P. M.; Tapondjou, N. W. P.; Sterkhova, V. V.; Kusamba, C.; Rödel, M. O.; Penner, J.; Peterson, A. T.; Brown, R. M.",2021,"Rivers, not refugia, drove diversification in arboreal, sub-Saharan African snakes",ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Cameroon,2.6106,14.0234,NO,coord provided,DD,Reptilia,Toxicodryas pulverulenta,Toxicodryas pulverulenta,LC,Global South,10,United States of America,Global North,United States of America,Global North,International,1,9,1,1.512846351,
26,"Allen, K. E.; Greenbaum, E.; Hime, P. M.; Tapondjou, N. W. P.; Sterkhova, V. V.; Kusamba, C.; Rödel, M. O.; Penner, J.; Peterson, A. T.; Brown, R. M.",2021,"Rivers, not refugia, drove diversification in arboreal, sub-Saharan African snakes",ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Congo,-2.612499,13.615022,NO,coord provided,DD,Reptilia,Toxicodryas pulverulenta,Toxicodryas pulverulenta,LC,Global South,10,United States of America,Global North,United States of America,Global North,International,1,9,1,1.735243559,
26,"Allen, K. E.; Greenbaum, E.; Hime, P. M.; Tapondjou, N. W. P.; Sterkhova, V. V.; Kusamba, C.; Rödel, M. O.; Penner, J.; Peterson, A. T.; Brown, R. M.",2021,"Rivers, not refugia, drove diversification in arboreal, sub-Saharan African snakes",ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Democratic Republic of Congo,-3.0587533,21.4686633,Yes,average 3 coords from DRC,DD,Reptilia,Toxicodryas blandingii,Toxicodryas blandingii,LC,Global South,10,United States of America,Global North,United States of America,Global North,International,1,9,1,1.871700764,
26,"Allen, K. E.; Greenbaum, E.; Hime, P. M.; Tapondjou, N. W. P.; Sterkhova, V. V.; Kusamba, C.; Rödel, M. O.; Penner, J.; Peterson, A. T.; Brown, R. M.",2021,"Rivers, not refugia, drove diversification in arboreal, sub-Saharan African snakes",ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Democratic Republic of Congo,-2.617408,23.900446,Yes,averaged 5 coords,DD,Reptilia,Toxicodryas pulverulenta,Toxicodryas pulverulenta,LC,Global South,10,United States of America,Global North,United States of America,Global North,International,1,9,1,1.900866985,
26,"Allen, K. E.; Greenbaum, E.; Hime, P. M.; Tapondjou, N. W. P.; Sterkhova, V. V.; Kusamba, C.; Rödel, M. O.; Penner, J.; Peterson, A. T.; Brown, R. M.",2021,"Rivers, not refugia, drove diversification in arboreal, sub-Saharan African snakes",ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Gabon,-1.2688275,12.4991,Yes,averaged 4 coords from gabon,DD,Reptilia,Toxicodryas pulverulenta,Toxicodryas pulverulenta,LC,Global South,10,United States of America,Global North,United States of America,Global North,International,1,9,1,1.562152982,
26,"Allen, K. E.; Greenbaum, E.; Hime, P. M.; Tapondjou, N. W. P.; Sterkhova, V. V.; Kusamba, C.; Rödel, M. O.; Penner, J.; Peterson, A. T.; Brown, R. M.",2021,"Rivers, not refugia, drove diversification in arboreal, sub-Saharan African snakes",ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Ghana,7.861808,-1.593136,NO,coord provided,DD,Reptilia,Toxicodryas blandingii,Toxicodryas blandingii,LC,Global South,10,United States of America,Global North,United States of America,Global North,International,1,9,1,1.489410043,
26,"Allen, K. E.; Greenbaum, E.; Hime, P. M.; Tapondjou, N. W. P.; Sterkhova, V. V.; Kusamba, C.; Rödel, M. O.; Penner, J.; Peterson, A. T.; Brown, R. M.",2021,"Rivers, not refugia, drove diversification in arboreal, sub-Saharan African snakes",ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Guinea,10.3801,-9.300244,NO,coord provided,DD,Reptilia,Toxicodryas blandingii,Toxicodryas blandingii,LC,Global South,10,United States of America,Global North,United States of America,Global North,International,1,9,1,1.88298583,
26,"Allen, K. E.; Greenbaum, E.; Hime, P. M.; Tapondjou, N. W. P.; Sterkhova, V. V.; Kusamba, C.; Rödel, M. O.; Penner, J.; Peterson, A. T.; Brown, R. M.",2021,"Rivers, not refugia, drove diversification in arboreal, sub-Saharan African snakes",ECOLOGY AND EVOLUTION,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Africa,Guinea,7.66794375,-9.0243423,Yes,averaged 4 cooords,DD,Reptilia,Toxicodryas pulverulenta,Toxicodryas pulverulenta,LC,Global South,10,United States of America,Global North,United States of America,Global North,International,1,9,1,1.868923664,
27,"Allen, L.; Sanders, K. L.; Thomson, V. A.",2018,Molecular evidence for the first records of facultative parthenogenesis in elapid snakes,ROYAL SOCIETY OPEN SCIENCE,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,Oceania,Australia,-9.40527974,142.6922586,Yes,centroid of Saibai Island,DD,Reptilia,Oxyuranus scutellatus,Oxyuranus scutellatus,LC,Global North,3,Australia,Global North,Australia,Global North,Domestic,3,3,0,1.555902481,
27,"Allen, L.; Sanders, K. L.; Thomson, V. A.",2018,Molecular evidence for the first records of facultative parthenogenesis in elapid snakes,ROYAL SOCIETY OPEN SCIENCE,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Wild,Oceania,Australia,-34.32528588,135.7500458,Yes,centroid of Eyre Peninsula,DD,Reptilia,Acanthophis antarcticus,Acanthophis antarcticus,LC,Global North,3,Australia,Global North,Australia,Global North,Domestic,3,3,0,1.278472066,
27,"Allen, L.; Sanders, K. L.; Thomson, V. A.",2018,Molecular evidence for the first records of facultative parthenogenesis in elapid snakes,ROYAL SOCIETY OPEN SCIENCE,Yes,Level 1: General genomic resources,GBS/RAD/target capture,Captive,NA,NA,NA,NA,NA,NA,NA,Reptilia,Oxyuranus scutellatus,Oxyuranus scutellatus,LC,,,,,,,,NA,,,NA,
28,"Allentoft, M. E.; Rasmussen, A. R.; Kristensen, H. V.",2018,Centuries-Old DNA from an Extinct Population of Aesculapian Snake (Zamenis longissimus) Offers New Phylogeographic Insight,DIVERSITY-BASEL,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Europe,Denmark,55.4603017,11.72437767,Yes,estimated center of island of Zealand in Denmark where museum specimens were collected,DD,Reptilia,Zamenis longissimus,Zamenis longissimus,LC,Global North,3,Denmark,Global North,Denmark,Global North,Domestic,3,3,0,2.619096756,
30,"Alvarez-Varas, R.; Rojas-Hernández, N.; Heidemeyer, M.; Riginos, C.; Benítez, H. A.; Araya-Donoso, R.; Reséndiz, E.; Lara-Uc, M.; Godoy, D. A.; Muñoz-Pérez, J. P.; Alarcón-Ruales, D. E.; Alfaro-Shigueto, J.; Ortiz-Alvarez, C.; Mangel, J. C.; Vianna, J. A.; Véliz, D.",2021,"Green, yellow or black? Genetic differentiation and adaptation signatures in a highly migratory marine turtle",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,South America,Chile,-26.76608888,-70.27188399,Yes,estimated coords for center of Chile; sampled Rapa Nui,DD,Reptilia,Chelonia mydas,Chelonia mydas,EN,Global South,16,Chile,Global South,Chile,Global South,International,14,3,13,2.167534113,
